,/wiki/Donald_Trump,/wiki/Barack_Obama,/wiki/Adolf_Hitler,/wiki/Elizabeth_II,/wiki/Abraham_Lincoln,/wiki/John_F._Kennedy,/wiki/Henry_VIII_of_England,/wiki/Nelson_Mandela,/wiki/George_W._Bush,/wiki/Ronald_Reagan,/wiki/Queen_Victoria,/wiki/Bill_Clinton,/wiki/George_Washington,/wiki/Osama_bin_Laden,/wiki/Franklin_D._Roosevelt,/wiki/Elizabeth_I,/wiki/Winston_Churchill,/wiki/Mahatma_Gandhi,/wiki/Christopher_Columbus,/wiki/Che_Guevara,/wiki/Joseph_Stalin,/wiki/Richard_Nixon,/wiki/Vladimir_Putin,"/wiki/Charles,_Prince_of_Wales","/wiki/Prince_Philip,_Duke_of_Edinburgh",/wiki/Sarah_Palin,/wiki/Theodore_Roosevelt,/wiki/Thomas_Jefferson,/wiki/Benjamin_Franklin,/wiki/George_H.W._Bush,/wiki/Margaret_Thatcher
Donald Trump,,0.3076923076923077,,,0.23076923076923078,0.07692307692307693,,,0.23076923076923078,0.23076923076923078,,0.15384615384615385,0.07692307692307693,,0.07692307692307693,,,,,,,0.3076923076923077,0.15384615384615385,,,0.07692307692307693,0.23076923076923078,0.07692307692307693,,,
Barack Obama,0.3333333333333333,,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.14285714285714285,,0.14285714285714285,0.6190476190476191,0.23809523809523808,,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.47619047619047616,,0.09523809523809523,0.047619047619047616,,,0.09523809523809523,0.14285714285714285,0.19047619047619047,,,0.09523809523809523,0.09523809523809523,0.047619047619047616,,,0.047619047619047616
Adolf Hitler,0.07142857142857142,0.14285714285714285,,0.07142857142857142,,0.07142857142857142,,0.07142857142857142,0.14285714285714285,0.14285714285714285,,0.14285714285714285,,,0.2857142857142857,,0.21428571428571427,0.07142857142857142,,,0.2857142857142857,0.14285714285714285,0.07142857142857142,,,,,,,,
Elizabeth II,,,,,,,0.14285714285714285,,,0.2857142857142857,0.5714285714285714,,,,,,0.5714285714285714,,,,,,,1.4285714285714286,0.7142857142857143,,,,,,0.2857142857142857
Abraham Lincoln,0.15384615384615385,0.15384615384615385,,,,0.07692307692307693,,,0.15384615384615385,0.15384615384615385,,0.07692307692307693,0.23076923076923078,,0.23076923076923078,,,,,,,0.3076923076923077,,,,0.07692307692307693,0.46153846153846156,0.23076923076923078,0.15384615384615385,,
John F. Kennedy,0.1111111111111111,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.1111111111111111,,,0.05555555555555555,0.16666666666666666,0.2222222222222222,,0.2222222222222222,0.1111111111111111,,0.5,,0.1111111111111111,0.05555555555555555,,,0.1111111111111111,0.4444444444444444,0.05555555555555555,,,,0.1111111111111111,0.05555555555555555,,,
Henry VIII of England,,,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,,,,,,,
Nelson Mandela,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.05263157894736842,,,0.21052631578947367,0.15789473684210525,,0.21052631578947367,,,0.15789473684210525,,0.10526315789473684,0.15789473684210525,,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,,,,0.05263157894736842,,,0.05263157894736842,0.05263157894736842
George W. Bush,0.38095238095238093,0.7142857142857143,0.047619047619047616,0.047619047619047616,0.2857142857142857,0.09523809523809523,,0.047619047619047616,,0.42857142857142855,0.047619047619047616,0.6190476190476191,0.047619047619047616,0.047619047619047616,0.23809523809523808,,0.14285714285714285,0.047619047619047616,,,0.09523809523809523,0.47619047619047616,0.14285714285714285,,,0.09523809523809523,0.23809523809523808,0.047619047619047616,,,
Ronald Reagan,0.2857142857142857,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.14285714285714285,,0.047619047619047616,0.3333333333333333,,,0.23809523809523808,0.047619047619047616,,0.3333333333333333,,0.09523809523809523,0.047619047619047616,,,0.09523809523809523,0.6666666666666666,0.047619047619047616,0.047619047619047616,,0.047619047619047616,0.14285714285714285,0.047619047619047616,,,0.2857142857142857
Queen Victoria,,,,1.6666666666666667,,,0.6666666666666666,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,
Bill Clinton,0.2631578947368421,0.6842105263157895,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.2631578947368421,,0.05263157894736842,0.5789473684210527,0.42105263157894735,,,0.05263157894736842,0.10526315789473684,0.5789473684210527,,0.15789473684210525,0.05263157894736842,,,0.10526315789473684,0.15789473684210525,0.05263157894736842,,,,0.05263157894736842,0.05263157894736842,,,
George Washington,0.07142857142857142,0.07142857142857142,,0.07142857142857142,0.21428571428571427,0.07142857142857142,,,0.07142857142857142,0.07142857142857142,,0.07142857142857142,,,0.14285714285714285,,,,,,,0.07142857142857142,,,,,0.21428571428571427,0.5714285714285714,0.21428571428571427,,0.07142857142857142
Osama bin Laden,,0.6666666666666666,,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,
Franklin D. Roosevelt,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.21052631578947367,,0.05263157894736842,0.15789473684210525,0.15789473684210525,,0.21052631578947367,0.2631578947368421,,,,0.3157894736842105,0.05263157894736842,,,0.21052631578947367,0.15789473684210525,0.05263157894736842,,,,0.42105263157894735,0.10526315789473684,0.05263157894736842,,
Elizabeth I,,,,0.3333333333333333,,,2.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,
Winston Churchill,0.0625,0.125,0.125,0.1875,,0.125,,0.0625,0.125,0.125,,0.25,,,0.375,,,0.0625,,,0.1875,0.125,0.0625,,,,0.0625,,,,0.1875
Mahatma Gandhi,0.0625,0.1875,0.0625,0.0625,,0.0625,,0.4375,0.125,0.125,,0.125,,,0.1875,,0.3125,,,,0.125,0.125,0.0625,,,,,0.0625,0.0625,,
Christopher Columbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che Guevara,,,,,,0.3333333333333333,,1.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,
Joseph Stalin,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.07142857142857142,,0.07142857142857142,,0.07142857142857142,0.14285714285714285,0.14285714285714285,,0.14285714285714285,,,0.35714285714285715,,0.2857142857142857,0.07142857142857142,,,,0.14285714285714285,0.21428571428571427,,,,,,,,
Richard Nixon,0.15,0.15,0.05,0.05,0.15,0.3,,0.05,0.2,0.45,,0.3,0.05,,0.2,,0.1,0.05,,,0.1,,0.05,,,0.05,0.25,0.1,,,0.05
Vladimir Putin,1.5,0.75,,,,,,,1.0,,,,,,,,,,,,0.25,,,,,,,,,,
"Charles, Prince of Wales",,,,1.25,,,0.5,,,0.25,,,,,,,,,,,,,,,2.5,,,,,,
"Prince Philip, Duke of Edinburgh",,,,1.75,,,,,,,1.0,,,,,,0.25,,,,,,,2.5,,,,,,,
Sarah Palin,0.375,0.25,,,0.25,,,,0.25,0.25,,0.125,,,,,,,,,,0.375,,,,,0.25,,,,
Theodore Roosevelt,0.14285714285714285,0.14285714285714285,,,0.35714285714285715,0.07142857142857142,,0.07142857142857142,0.14285714285714285,0.14285714285714285,,0.14285714285714285,0.21428571428571427,,0.42857142857142855,,,,,,,0.35714285714285715,,,,0.07142857142857142,,0.2857142857142857,0.07142857142857142,,
Thomas Jefferson,0.07692307692307693,0.07692307692307693,,,0.15384615384615385,0.07692307692307693,,,0.07692307692307693,0.07692307692307693,,0.07692307692307693,0.5384615384615384,,0.23076923076923078,,,0.07692307692307693,,,,0.15384615384615385,,,,,0.3076923076923077,,0.6153846153846154,,
Benjamin Franklin,,,,,0.16666666666666666,,,,,,,,0.6666666666666666,,0.16666666666666666,,,0.16666666666666666,,,,,,,,,0.16666666666666666,1.3333333333333333,,,
George H.W. Bush,0.2857142857142857,0.47619047619047616,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.19047619047619047,,0.047619047619047616,0.8571428571428571,0.9047619047619048,,0.7142857142857143,0.047619047619047616,,0.19047619047619047,,0.09523809523809523,0.047619047619047616,,,0.09523809523809523,0.6190476190476191,0.047619047619047616,,,0.047619047619047616,0.19047619047619047,0.09523809523809523,,,0.09523809523809523
Margaret Thatcher,,,,0.42857142857142855,,,,0.14285714285714285,0.14285714285714285,0.5714285714285714,,,0.14285714285714285,,,,0.7142857142857143,,,,,,,,0.14285714285714285,,,,,,
